,Ingang,JorisendeDraak,Baron1898,Droomvlucht,DeVliegendeHollander,Pirana,Python,CarnavalFestival,Stoomcarrousel,FataMorgana,Kleuterhof,VogelRok,VillaVolta,Bobbaan,HalveMaen,OudeTuffer,PandaDroom,MonsieurCannibale,Pagode,Kinderspoor,Gondoletta,KinderAvonturendoolhof,PolkaMarina,Spookslot,Diorama,Stoomtrein(Ruigrijk),Stoomtrein(Marerijk)
Ingang,0.00,19.20,15.60,20.40,19.20,14.40,20.40,22.80,16.80,12.00,22.80,21.60,19.20,9.60,20.40,20.40,12.00,21.60,16.80,20.40,16.80,20.40,21.60,10.80,14.40,22.80,19.20
JorisendeDraak,19.20,0.00,8.40,28.80,4.32,5.28,2.88,22.80,24.00,13.20,19.20,20.40,26.40,9.60,6.24,6.00,14.40,20.40,15.60,14.40,15.60,19.20,5.52,9.60,18.00,5.52,26.40
Baron1898,15.60,8.40,0.00,19.20,4.80,5.04,7.20,16.80,15.60,9.60,13.20,14.40,19.20,5.76,6.72,7.20,9.60,14.40,8.40,7.20,8.40,13.20,7.20,6.00,13.20,8.40,19.20
Droomvlucht,20.40,28.80,19.20,0.00,26.40,19.20,26.40,13.20,6.24,21.60,15.60,13.20,2.40,20.40,19.20,20.40,18.00,13.20,16.80,20.40,16.80,13.20,21.60,15.60,6.72,21.60,2.40
DeVliegendeHollander,19.20,4.32,4.80,26.40,0.00,8.40,2.64,20.40,20.40,13.20,18.00,19.20,24.00,9.60,5.52,5.04,13.20,18.00,13.20,12.00,13.20,16.80,4.80,9.60,16.80,4.80,24.00
Pirana,14.40,5.28,5.04,19.20,8.40,0.00,6.96,15.60,15.60,7.20,15.60,15.60,19.20,3.84,12.00,10.80,8.40,14.40,9.60,12.00,10.80,14.40,10.80,4.08,13.20,12.00,19.20
Python,20.40,2.88,7.20,26.40,2.64,6.96,0.00,20.40,20.40,14.40,18.00,19.20,24.00,10.80,4.80,6.00,15.60,18.00,13.20,12.00,14.40,18.00,2.88,10.80,18.00,3.60,24.00
CarnavalFestival,22.80,22.80,16.80,13.20,20.40,15.60,20.40,0.00,7.20,20.40,3.36,0.72,12.00,16.80,14.40,15.60,18.00,1.20,6.00,8.40,5.52,1.85,15.60,15.60,9.60,15.60,12.00
Stoomcarrousel,16.80,24.00,15.60,6.24,20.40,15.60,20.40,7.20,0.00,18.00,10.80,16.80,6.24,16.80,16.80,16.80,14.40,8.40,12.00,16.80,13.20,9.60,16.80,13.20,3.36,16.80,6.24
FataMorgana,12.00,13.20,9.60,21.60,13.20,7.20,14.40,20.40,18.00,0.00,19.20,20.40,21.60,3.60,15.60,16.80,12.00,19.20,14.40,16.80,14.40,18.00,16.80,8.40,16.80,16.80,21.60
Kleuterhof,22.80,19.20,13.20,15.60,18.00,15.60,18.00,3.36,10.80,19.20,0.00,2.88,15.60,16.80,13.20,13.20,18.00,2.09,5.76,5.52,5.28,1.54,14.40,15.60,13.20,14.40,15.60
VogelRok,21.60,20.40,14.40,13.20,19.20,15.60,19.20,0.72,16.80,20.40,2.88,0.00,12.00,16.80,14.40,14.40,16.80,0.72,5.52,8.40,5.04,1.30,15.60,15.60,9.60,15.60,12.00
VillaVolta,19.20,26.40,19.20,2.40,24.00,19.20,24.00,12.00,6.24,21.60,15.60,12.00,0.00,20.40,19.20,20.40,18.00,13.20,15.60,20.40,16.80,14.40,20.40,15.60,6.72,20.40,0.00
Bobbaan,9.60,9.60,5.76,20.40,9.60,3.84,10.80,16.80,16.80,3.60,16.80,16.80,20.40,0.00,12.00,13.20,9.60,15.60,10.80,13.20,12.00,15.60,13.20,4.80,13.20,14.40,20.40
HalveMaen,20.40,6.24,6.72,19.20,5.52,12.00,4.80,14.40,16.80,15.60,13.20,14.40,19.20,12.00,0.00,0.38,15.60,13.20,8.40,7.20,9.60,13.20,0.60,12.00,13.20,2.40,19.20
OudeTuffer,20.40,6.00,7.20,20.40,5.04,10.80,6.00,15.60,16.80,16.80,13.20,14.40,20.40,13.20,0.38,0.00,15.60,14.40,9.60,8.40,9.60,13.20,0.24,13.20,13.20,1.20,20.40
PandaDroom,12.00,14.40,9.60,18.00,13.20,8.40,15.60,18.00,14.40,12.00,18.00,16.80,18.00,9.60,15.60,15.60,0.00,16.80,12.00,16.80,12.00,15.60,15.60,4.32,12.00,15.60,18.00
MonsieurCannibale,21.60,20.40,14.40,13.20,18.00,14.40,18.00,1.20,8.40,19.20,2.09,0.72,13.20,15.60,13.20,14.40,16.80,0.00,4.80,7.20,4.32,0.55,14.40,14.40,10.80,14.40,13.20
Pagode,16.80,15.60,8.40,16.80,13.20,9.60,13.20,6.00,12.00,14.40,5.76,5.52,15.60,10.80,8.40,9.60,12.00,4.80,0.00,9.60,0.48,4.08,9.60,9.60,9.60,10.80,15.60
Kinderspoor,20.40,14.40,7.20,20.40,12.00,12.00,12.00,8.40,16.80,16.80,5.52,8.40,20.40,13.20,7.20,8.40,16.80,7.20,9.60,0.00,9.60,6.96,8.40,13.20,13.20,8.40,20.40
Gondoletta,16.80,15.60,8.40,16.80,13.20,10.80,14.40,5.52,13.20,14.40,5.28,5.04,16.80,12.00,9.60,9.60,12.00,4.32,0.48,9.60,0.00,3.60,9.60,9.60,9.60,9.60,16.80
KinderAvonturendoolhof,20.40,19.20,13.20,13.20,16.80,14.40,18.00,1.85,9.60,18.00,1.54,1.30,14.40,15.60,13.20,13.20,15.60,0.55,4.08,6.96,3.60,0.00,13.20,14.40,10.80,13.20,14.40
PolkaMarina,21.60,5.52,7.20,21.60,4.80,10.80,2.88,15.60,16.80,16.80,14.40,15.60,20.40,13.20,0.60,0.24,15.60,14.40,9.60,8.40,9.60,13.20,0.00,13.20,13.20,0.96,20.40
Spookslot,10.80,9.60,6.00,15.60,9.60,4.08,10.80,15.60,13.20,8.40,15.60,15.60,15.60,4.80,12.00,13.20,4.32,14.40,9.60,13.20,9.60,14.40,13.20,0.00,9.60,13.20,15.60
Diorama,14.40,18.00,13.20,6.72,16.80,13.20,18.00,9.60,3.36,16.80,13.20,9.60,6.72,13.20,13.20,13.20,12.00,10.80,9.60,13.20,9.60,10.80,13.20,9.60,0.00,14.40,6.72
Stoomtrein(Ruigrijk),22.80,5.52,8.40,21.60,4.80,12.00,3.60,15.60,16.80,16.80,14.40,15.60,20.40,14.40,2.40,1.20,15.60,14.40,10.80,8.40,9.60,13.20,0.96,13.20,14.40,0.00,20.40
Stoomtrein(Marerijk),19.20,26.40,19.20,2.40,24.00,19.20,24.00,12.00,6.24,21.60,15.60,12.00,0.00,20.40,19.20,20.40,18.00,13.20,15.60,20.40,16.80,14.40,20.40,15.60,6.72,20.40,0.00
