,date,hour,name,waiting_time,day_type
53717,2016-11-02,09:55:00,PandaDroom,10,1
52921,2016-11-02,12:25:00,CarnavalFestival,5,1
52920,2016-11-02,12:20:00,CarnavalFestival,5,1
52919,2016-11-02,12:15:00,CarnavalFestival,5,1
52918,2016-11-02,12:10:00,CarnavalFestival,5,1
52917,2016-11-02,12:05:00,CarnavalFestival,5,1
52916,2016-11-02,12:00:00,CarnavalFestival,5,1
52915,2016-11-02,11:55:00,CarnavalFestival,5,1
52914,2016-11-02,11:50:00,CarnavalFestival,5,1
52913,2016-11-02,11:45:00,CarnavalFestival,5,1
52912,2016-11-02,11:40:00,CarnavalFestival,5,1
52911,2016-11-02,11:35:00,CarnavalFestival,5,1
52910,2016-11-02,11:30:00,CarnavalFestival,5,1
52909,2016-11-02,11:25:00,CarnavalFestival,5,1
52908,2016-11-02,11:20:00,CarnavalFestival,5,1
52907,2016-11-02,11:15:00,CarnavalFestival,5,1
52906,2016-11-02,11:10:00,CarnavalFestival,5,1
52905,2016-11-02,11:05:00,CarnavalFestival,5,1
52904,2016-11-02,11:00:00,CarnavalFestival,5,1
52903,2016-11-02,10:55:00,CarnavalFestival,5,1
52902,2016-11-02,10:50:00,CarnavalFestival,5,1
52901,2016-11-02,10:45:00,CarnavalFestival,5,1
52900,2016-11-02,10:40:00,CarnavalFestival,5,1
52899,2016-11-02,10:35:00,CarnavalFestival,5,1
52898,2016-11-02,10:30:00,CarnavalFestival,5,1
52897,2016-11-02,10:25:00,CarnavalFestival,5,1
52896,2016-11-02,10:20:00,CarnavalFestival,5,1
52895,2016-11-02,10:15:00,CarnavalFestival,5,1
52922,2016-11-02,12:30:00,CarnavalFestival,5,1
52894,2016-11-02,10:10:00,CarnavalFestival,5,1
52923,2016-11-02,12:35:00,CarnavalFestival,5,1
52925,2016-11-02,12:45:00,CarnavalFestival,5,1
52952,2016-11-02,15:00:00,CarnavalFestival,5,1
52951,2016-11-02,14:55:00,CarnavalFestival,10,1
52950,2016-11-02,14:50:00,CarnavalFestival,10,1
52949,2016-11-02,14:45:00,CarnavalFestival,10,1
52948,2016-11-02,14:40:00,CarnavalFestival,10,1
52947,2016-11-02,14:35:00,CarnavalFestival,10,1
52946,2016-11-02,14:30:00,CarnavalFestival,10,1
52945,2016-11-02,14:25:00,CarnavalFestival,10,1
52944,2016-11-02,14:20:00,CarnavalFestival,10,1
52943,2016-11-02,14:15:00,CarnavalFestival,10,1
52942,2016-11-02,14:10:00,CarnavalFestival,10,1
52941,2016-11-02,14:05:00,CarnavalFestival,10,1
52940,2016-11-02,14:00:00,CarnavalFestival,5,1
52939,2016-11-02,13:55:00,CarnavalFestival,5,1
52938,2016-11-02,13:50:00,CarnavalFestival,5,1
52937,2016-11-02,13:45:00,CarnavalFestival,5,1
52936,2016-11-02,13:40:00,CarnavalFestival,5,1
52935,2016-11-02,13:35:00,CarnavalFestival,5,1
52934,2016-11-02,13:30:00,CarnavalFestival,5,1
52933,2016-11-02,13:25:00,CarnavalFestival,5,1
52932,2016-11-02,13:20:00,CarnavalFestival,5,1
52931,2016-11-02,13:15:00,CarnavalFestival,5,1
52930,2016-11-02,13:10:00,CarnavalFestival,5,1
52929,2016-11-02,13:05:00,CarnavalFestival,5,1
52928,2016-11-02,13:00:00,CarnavalFestival,5,1
52927,2016-11-02,12:55:00,CarnavalFestival,5,1
52926,2016-11-02,12:50:00,CarnavalFestival,5,1
52924,2016-11-02,12:40:00,CarnavalFestival,5,1
52893,2016-11-02,10:05:00,CarnavalFestival,5,1
52892,2016-11-02,10:00:00,CarnavalFestival,0,1
52891,2016-11-02,09:55:00,CarnavalFestival,0,1
52858,2016-11-02,17:00:00,Baron1898(Frontrow),5,1
52857,2016-11-02,16:55:00,Baron1898(Frontrow),5,1
52856,2016-11-02,16:50:00,Baron1898(Frontrow),5,1
52855,2016-11-02,16:45:00,Baron1898(Frontrow),5,1
52854,2016-11-02,16:40:00,Baron1898(Frontrow),5,1
52853,2016-11-02,16:35:00,Baron1898(Frontrow),5,1
52852,2016-11-02,16:30:00,Baron1898(Frontrow),5,1
52851,2016-11-02,16:25:00,Baron1898(Frontrow),5,1
52850,2016-11-02,16:20:00,Baron1898(Frontrow),5,1
52849,2016-11-02,16:15:00,Baron1898(Frontrow),5,1
52848,2016-11-02,16:10:00,Baron1898(Frontrow),5,1
52847,2016-11-02,16:05:00,Baron1898(Frontrow),5,1
52846,2016-11-02,16:00:00,Baron1898(Frontrow),5,1
52845,2016-11-02,15:55:00,Baron1898(Frontrow),5,1
52844,2016-11-02,15:50:00,Baron1898(Frontrow),5,1
52843,2016-11-02,15:45:00,Baron1898(Frontrow),5,1
52842,2016-11-02,15:40:00,Baron1898(Frontrow),5,1
52841,2016-11-02,15:35:00,Baron1898(Frontrow),5,1
52840,2016-11-02,15:30:00,Baron1898(Frontrow),5,1
52839,2016-11-02,15:25:00,Baron1898(Frontrow),5,1
52838,2016-11-02,15:20:00,Baron1898(Frontrow),5,1
52837,2016-11-02,15:15:00,Baron1898(Frontrow),5,1
52836,2016-11-02,15:10:00,Baron1898(Frontrow),5,1
52835,2016-11-02,15:05:00,Baron1898(Frontrow),5,1
52834,2016-11-02,15:00:00,Baron1898(Frontrow),5,1
52833,2016-11-02,14:55:00,Baron1898(Frontrow),5,1
52832,2016-11-02,14:50:00,Baron1898(Frontrow),5,1
52859,2016-11-02,17:05:00,Baron1898(Frontrow),5,1
52860,2016-11-02,17:10:00,Baron1898(Frontrow),5,1
