;Ingang;JorisendeDraak;Baron1898;Droomvlucht;DeVliegendeHollander;Pirana;Python;CarnavalFestival;Stoomcarrousel;FataMorgana;Kleuterhof;VogelRok;VillaVolta;Bobbaan;HalveMaen;OudeTuffer;PandaDroom;MonsieurCannibale;Pagode;Kinderspoor;Gondoletta;KinderAvonturendoolhof;PolkaMarina;Spookslot;Diorama;Stoomtrein(Ruigrijk);Stoomtrein(Marerijk)
Ingang;0;19,2;15,6;20,4;19,2;14,4;20,4;22,8;16,8;12;22,8;21,6;19,2;9,6;20,4;20,4;12;21,6;16,8;20,4;16,8;20,4;21,6;10,8;14,4;22,8;19,2
JorisendeDraak;19,2;0;8,4;28,8;4,32;5,28;2,88;22,8;24;13,2;19,2;20,4;26,4;9,6;6,24;6;14,4;20,4;15,6;14,4;15,6;19,2;5,52;9,6;18;5,52;26,4
Baron1898;15,6;8,4;0;19,2;4,8;5,04;7,2;16,8;15,6;9,6;13,2;14,4;19,2;5,76;6,72;7,2;9,6;14,4;8,4;7,2;8,4;13,2;7,2;6;13,2;8,4;19,2
Droomvlucht;20,4;28,8;19,2;0;26,4;19,2;26,4;13,2;6,24;21,6;15,6;13,2;2,4;20,4;19,2;20,4;18;13,2;16,8;20,4;16,8;13,2;21,6;15,6;6,72;21,6;2,4
DeVliegendeHollander;19,2;4,32;4,8;26,4;0;8,4;2,64;20,4;20,4;13,2;18;19,2;24;9,6;5,52;5,04;13,2;18;13,2;12;13,2;16,8;4,8;9,6;16,8;4,8;24
Pirana;14,4;5,28;5,04;19,2;8,4;0;6,96;15,6;15,6;7,2;15,6;15,6;19,2;3,84;12;10,8;8,4;14,4;9,6;12;10,8;14,4;10,8;4,08;13,2;12;19,2
Python;20,4;2,88;7,2;26,4;2,64;6,96;0;20,4;20,4;14,4;18;19,2;24;10,8;4,8;6;15,6;18;13,2;12;14,4;18;2,88;10,8;18;3,6;24
CarnavalFestival;22,8;22,8;16,8;13,2;20,4;15,6;20,4;0;7,2;20,4;3,36;0,72;12;16,8;14,4;15,6;18;1,2;6;8,4;5,52;1,85;15,6;15,6;9,6;15,6;12
Stoomcarrousel;16,8;24;15,6;6,24;20,4;15,6;20,4;7,2;0;18;10,8;16,8;6,24;16,8;16,8;16,8;14,4;8,4;12;16,8;13,2;9,6;16,8;13,2;3,36;16,8;6,24
FataMorgana;12;13,2;9,6;21,6;13,2;7,2;14,4;20,4;18;0;19,2;20,4;21,6;3,6;15,6;16,8;12;19,2;14,4;16,8;14,4;18;16,8;8,4;16,8;16,8;21,6
Kleuterhof;22,8;19,2;13,2;15,6;18;15,6;18;3,36;10,8;19,2;0;2,88;15,6;16,8;13,2;13,2;18;2,09;5,76;5,52;5,28;1,54;14,4;15,6;13,2;14,4;15,6
VogelRok;21,6;20,4;14,4;13,2;19,2;15,6;19,2;0,72;16,8;20,4;2,88;0;12;16,8;14,4;14,4;16,8;0,72;5,52;8,4;5,04;1,3;15,6;15,6;9,6;15,6;12
VillaVolta;19,2;26,4;19,2;2,4;24;19,2;24;12;6,24;21,6;15,6;12;0;20,4;19,2;20,4;18;13,2;15,6;20,4;16,8;14,4;20,4;15,6;6,72;20,4;0
Bobbaan;9,6;9,6;5,76;20,4;9,6;3,84;10,8;16,8;16,8;3,6;16,8;16,8;20,4;0;12;13,2;9,6;15,6;10,8;13,2;12;15,6;13,2;4,8;13,2;14,4;20,4
HalveMaen;20,4;6,24;6,72;19,2;5,52;12;4,8;14,4;16,8;15,6;13,2;14,4;19,2;12;0;0,38;15,6;13,2;8,4;7,2;9,6;13,2;0,6;12;13,2;2,4;19,2
OudeTuffer;20,4;6;7,2;20,4;5,04;10,8;6;15,6;16,8;16,8;13,2;14,4;20,4;13,2;0,38;0;15,6;14,4;9,6;8,4;9,6;13,2;0,24;13,2;13,2;1,2;20,4
PandaDroom;12;14,4;9,6;18;13,2;8,4;15,6;18;14,4;12;18;16,8;18;9,6;15,6;15,6;0;16,8;12;16,8;12;15,6;15,6;4,32;12;15,6;18
MonsieurCannibale;21,6;20,4;14,4;13,2;18;14,4;18;1,2;8,4;19,2;2,09;0,72;13,2;15,6;13,2;14,4;16,8;0;4,8;7,2;4,32;0,55;14,4;14,4;10,8;14,4;13,2
Pagode;16,8;15,6;8,4;16,8;13,2;9,6;13,2;6;12;14,4;5,76;5,52;15,6;10,8;8,4;9,6;12;4,8;0;9,6;0,48;4,08;9,6;9,6;9,6;10,8;15,6
Kinderspoor;20,4;14,4;7,2;20,4;12;12;12;8,4;16,8;16,8;5,52;8,4;20,4;13,2;7,2;8,4;16,8;7,2;9,6;0;9,6;6,96;8,4;13,2;13,2;8,4;20,4
Gondoletta;16,8;15,6;8,4;16,8;13,2;10,8;14,4;5,52;13,2;14,4;5,28;5,04;16,8;12;9,6;9,6;12;4,32;0,48;9,6;0;3,6;9,6;9,6;9,6;9,6;16,8
KinderAvonturendoolhof;20,4;19,2;13,2;13,2;16,8;14,4;18;1,85;9,6;18;1,54;1,3;14,4;15,6;13,2;13,2;15,6;0,55;4,08;6,96;3,6;0;13,2;14,4;10,8;13,2;14,4
PolkaMarina;21,6;5,52;7,2;21,6;4,8;10,8;2,88;15,6;16,8;16,8;14,4;15,6;20,4;13,2;0,6;0,24;15,6;14,4;9,6;8,4;9,6;13,2;0;13,2;13,2;0,96;20,4
Spookslot;10,8;9,6;6;15,6;9,6;4,08;10,8;15,6;13,2;8,4;15,6;15,6;15,6;4,8;12;13,2;4,32;14,4;9,6;13,2;9,6;14,4;13,2;0;9,6;13,2;15,6
Diorama;14,4;18;13,2;6,72;16,8;13,2;18;9,6;3,36;16,8;13,2;9,6;6,72;13,2;13,2;13,2;12;10,8;9,6;13,2;9,6;10,8;13,2;9,6;0;14,4;6,72
