;date;hour;name;waiting_time;;gemiddelde wachttijd;standaardafwijking;gemiddelde/dag
0;06/11/2016;08:30:00;Kinderspoor;0;;0,00;0,00;
1;06/11/2016;08:35:00;Kinderspoor;0;;0,00;0,00;
2;06/11/2016;08:40:00;Kinderspoor;0;;0,00;0,00;
3;06/11/2016;08:45:00;Kinderspoor;0;;0,00;0,00;
4;06/11/2016;08:50:00;Kinderspoor;0;;0,00;0,00;
5;06/11/2016;08:55:00;Kinderspoor;0;;0,00;0,00;
6;06/11/2016;09:00:00;Kinderspoor;0;;0,00;0,00;
7;06/11/2016;09:05:00;Kinderspoor;0;;0,00;0,00;
8;06/11/2016;09:10:00;Kinderspoor;0;;0,00;0,00;
9;06/11/2016;09:15:00;Kinderspoor;0;;0,00;0,00;
10;06/11/2016;09:20:00;Kinderspoor;0;;0,00;0,00;
11;06/11/2016;09:25:00;Kinderspoor;0;;0,00;0,00;
12;06/11/2016;09:30:00;Kinderspoor;0;;0,00;0,00;
13;06/11/2016;09:35:00;Kinderspoor;0;;0,00;0,00;
14;06/11/2016;09:40:00;Kinderspoor;0;;0,00;0,00;
15;06/11/2016;09:45:00;Kinderspoor;0;;0,00;0,00;
16;06/11/2016;09:50:00;Kinderspoor;0;;0,00;0,00;
17;06/11/2016;09:55:00;Kinderspoor;0;;0,00;0,00;
18;06/11/2016;10:00:00;Kinderspoor;0;;0,00;0,00;
19;06/11/2016;10:05:00;Kinderspoor;0;;0,00;0,00;
20;06/11/2016;10:10:00;Kinderspoor;0;;0,00;0,00;
21;06/11/2016;10:15:00;Kinderspoor;0;;0,00;0,00;
22;06/11/2016;10:20:00;Kinderspoor;0;;0,00;0,00;
23;06/11/2016;10:25:00;Kinderspoor;0;;10,00;28,28;
24;06/11/2016;10:30:00;Kinderspoor;0;;8,13;22,98;
25;06/11/2016;10:35:00;Kinderspoor;0;;0,63;1,77;
26;06/11/2016;10:40:00;Kinderspoor;0;;0,63;1,77;
27;06/11/2016;10:45:00;Kinderspoor;0;;0,63;1,77;
28;06/11/2016;10:50:00;Kinderspoor;0;;1,25;2,31;
29;06/11/2016;10:55:00;Kinderspoor;0;;3,13;4,58;
30;06/11/2016;11:00:00;Kinderspoor;5;;4,38;4,17;
31;06/11/2016;11:05:00;Kinderspoor;0;;4,38;4,17;
32;06/11/2016;11:10:00;Kinderspoor;0;;2,50;3,78;
33;06/11/2016;11:15:00;Kinderspoor;0;;2,50;3,78;
34;06/11/2016;11:20:00;Kinderspoor;0;;3,75;5,82;
35;06/11/2016;11:25:00;Kinderspoor;0;;4,38;6,23;
