Attractie;Tijd (s);Bron
;;
Joris en de Draak;120;wiki
Baron 1898;130;wiki
Droomvlucht;360;wiki
Sprookjesbos;3600;youtube
De Vliegende Hollander;223;wiki
Pirana;300;wiki
Python;128;wiki
Carnaval Festival;480;wiki
Stoomcarrousel;120;youtube
Fata Morgana;480;wiki
Kleuterhof;1200;schatting
Vogel Rok;101;wiki
Villa Volta;600;wiki
Bob;130;wiki
Anton Pieck Plein;1500;schatting
Halve Maen;180;wiki
De Oude Tufferbaan;332,3076923;wiki
PandaDroom;1800;wiki
Symbolica;/;pas in '17
Monorail;420;wiki
Monsieur Cannibale;140;youtube
Pagode;310;wiki
Kindervreugd;600;schatting
Kinderspoor;180;schatting
Gondoletta;1200;wiki
Avonturendoolhof;600;youtube/schatting
Efteling Museum;1200;youtube/schatting
Polka Marina;150;wiki
Spookslot;900;wiki
Diorama;300;youtube
Game Gallery;900;schatting
Holle Bolle Gijs;/;geen attractie
Stoomtrein;900;wiki
Ijspaleis;/;nvt
t Hijgend Hert;/;nvt
